Leader Name	Nation Name	Alliance	Score
KATO	OLIMPIA	None	301.64
Duke Supremo	union of fascisti	None	20.25
Comite Nacional	United Brazilian Republics	Federation of Commerce States	1,376.60
MD AMZAD	TIGERSLAND	None	211.26
Mohamed Zaraaif	Juvlinle	None	6.50
Alexander DCLXVI	Bayern	None	9.17
Dominicus Angelus	Luddic Church	None	15.79
Louis XXI	Le Saphir	None	420.09
secretpower99	SHARABABA	None	210.50
niko miniotis	new sunpower	None	53.00
Chung	Chugobungo	None	404.08
Kim ung pun	United Korean State	The Ampersand	320.08
Chris Q	Republic of Albania	None	50.50
Bernardo	Bernis empire	None	74.58
Denardo	Eshistan	None	366.85
Rooster Cogburn	Epluribus Unum	None	7.75
Umberto di Savoia	Kingdom of Italy	None	55.56
Finel Cabstro	Tuba	None	113.95
Harry loca	Left handed	None	5.50
maniga	oheyo	None	50.37
Bread Slices	The Republic Of Kozelkastan	None	570.44
Jack	Great Britannia	TheNorthWesternSouthRegionofthefarEast	411.84
BokChoy	AsianParkingLot	None	60.16
Kassad	Zeno	Teutonic Order	1,864.00
Diavolo	Passione	None	245.37
Xeraph	Xeraphia	None	250.67
hiii	farqueesha20	None	59.68
Romain 1er	Empire Romain	None	119.41
Comrade Jimar	Retilonia	None	220.76
Commissioner Chris	Stormers	None	28.76
Runehawk	United Municipalities of SP	Federation of Commerce States	830.16
Kaliek Wade	Tristaria	None	209.15
Sullivon	Lakota	SSONA	398.23
River Song	Colonies of Gallifrey	None	166.18
Jack Strahan	Long Island	None	20.00
Horst Von Med	Konnigtum Von Med	None	5.75
Moo	Pukong Bardo	None	2.75
Jackson	V pickles	None	11.60
Walpole	Laboria	None	50.50
Vincent X	Fujian	None	268.66
Crocadilla	The Crocdis empire	None	344.54
Vioto	Grossdeutsche Reich	None	2.75
ouyang	Albatross	None	125.73
abclead	Sydenham	None	2.49
Lindir	Terraket	None	5.75
Great-dictator	Comradeland	None	53.00
Kaesar	Francia	None	75.25
Mikae	The Holy Empire of Heassin	None	2.75
Pehlivan	Achermissia	None	73.00
Rokkosovsky	UNSSR	None	85.73
Luka Pecek	Ustasa	None	2.75
Fuzzy Mcgee	Fireside	Federation of Commerce States	888.60
Piotr Okleja	Nowa Polska	None	5.50
Bilge	Turk kaganligi	None	61.00
Kartik Harit	Union of Bharat	None	53.00
boi boi	Ypsilanti	None	9.17
Abdulaziz	Agrabah	None	50.50
Rod	Country of people	None	5.25
Peyton Larsson	Dark Sea Island	None	14.52
Church0211	Church0211	None	50.50
Meer-Augen	Grunberg	None	7.75
Baby Yoda	IcyTokyo	None	63.55
Aladil	Yalad	The Red Banner	78.50
Dalom	Kalomonia	None	50.50
Brax	The High Imperium	None	147.89
Noocarius III	Nationalist Cascadia	None	269.36
Palsada	Nouveaux Quebec	Dark Brotherhood	1,228.00
Darkdragon	Darkdragon1771	None	156.32
Vastra	Galloway	None	18.00
Just	Cairn	None	67.21
Martix	Holy Warsawian Empire	None	152.58
Soham Shah	Empire Of Jainistan	None	8.00
lakhu jadeja	LD special	None	50.50
Yitzhak Volkivish	Union of Jewish Republics	None	55.20
Vlans	Kingdom of Elreven	None	64.03
Chi-Ha	Holy Nation	None	209.84
Cambyses	Oskosk	None	123.58
Dario	Zramp	None	163.70
Sir Duke Straw	Kalanda	United Alliance for Freedom	85.57
Flip	Peter	The North Atlantic Empire	385.98
Tihomil Zacharov	Gredan	None	72.10
Alaa	liban	None	71.15
Victor Gimenez	Liberita	None	5.50
morcup	Morcup	None	5.50
Druopitee	Helium Universe	None	411.08
Nicolae	Sinaia	Federation of Commerce States	352.95
So so 3	Boboland	None	109.87
Xion Enzio	Kingdom of Enzio	None	12.02
Goyo	Maharlika	None	153.84
Lord Dennis	Croome	None	225.31
Tom Basnett	Liverpool	None	54.83
Kamade	Avenne	Order of the White Rose	734.50
Royale	Eberoth	None	78.50
Reyla	Alva Nova	None	17.09
Warrius	Warria	None	59.50
Democritus	Belarus	None	2.75
Regret	Zenonia	None	0.25
Liudolf	Schwabenland	None	308.93
pary burkenstov	akkcaa	None	50.50
Thomas Terris	Grand United Dijkistan	None	71.25
Etienne	Arverne	None	50.50
Inra	Desmokratien	The Enlightenment	1,682.00
Ludvig II	The Kingdom of Augus	None	2.75
Nbmobujjsnd	Jsjnd snm	None	17.37
Mergimi	Obria e Eperme	None	2.50
L Jenkins	Anglo Atlantic Isle	None	53.00
Florin	Greater Romanian patrie	None	154.62
Tim Appel	Tim Land	None	50.02
John Felix Anthony	wrestlemania 35	peace keeper	70.91
Ayden Pointer	Pittsburgh Commune	None	63.35
Veso The Petrol	Vesoland	None	210.18
Midoi	Algerian	None	69.59
Forbes	Golonjodia	None	63.80
Fyem	Serore	None	61.50
Om Chaturvedi	CITOR	None	66.78
The manager	Del Taco	None	11.20
Yoti Chimi	Wasserberg	None	161.35
Balint I	Empire of Balaton	None	61.27
Ganso	Gensen	None	74.48
Azkal Salem	Iskandaria	None	151.35
Ark	Elrik	None	113.74
Rayan	London27	None	50.00
Barnum	PeaceMakers	None	5.50
M34TOPIA	M34T_KurTinZ	Arrgh	1,136.30
Chief Keef	Americha	None	50.01
John America	The New World Empire	None	56.79
Casen	Kievan Rus	None	142.69
Nozi	Holonia	None	105.56
Rika Wolf	Kanagawa	None	8.00
Syniextro	Syxland	None	5.75
Hwgden	Pan-Idiot War-Soviet	None	411.60
Youssef stalin	Vitrum socialist state	None	53.00
Clough	Englaland	None	138.73
Benjamin Leipold	Benton	None	150.24
Adamus	Qatar	None	50.50
Bela Pasztor	Avarorszag	None	63.12
P Bubblegum	Oooo	None	5.75
Tamazi Kazbegi	Barbados	The Commonwealth	1,790.25
Tijs	Bemonia	None	50.50
amar	makrania	None	240.98
Rony	Renkest	Demacia	410.32
Imhotep	Russkaya Zemlya	Demacia	161.07
Nara Loktev	Vladivostok	None	53.00
William Salvo	Texas Republicans	None	474.45
JJonesy	Tijata	None	7.98
Bulbasaur	Whales	None	219.17
Machope	Urban country	The Fighting Pacifists	570.50
Rolf	Daeln	None	5.50
Isabella Rose	Shizal	None	19.11
Liam Singh	Sindonia	None	22.28
Koru	Venli	None	38.00
Willy hall	Williamsburge	None	20.56
Noel Gustav	The Empire Of Candon	None	58.50
Abraham	Tradebar	None	78.88
Aulus Ben Maximus	Scottish-Ulster	None	4.93
Armen	Rhinoveta	None	50.50
Moises	Jalisco	None	18.85
Emil Ragnvald Falk	Kaninerlander	None	158.44
Hippolyta Amazonia	The United Amazonian Empire	None	64.07
Ariel	New Cali	None	8.00
Emanuele Del Gaudio	Partenopea	None	60.40
Ferocity	Great Fero	None	68.18
Gavius	Freire	None	50.50
dio	urmomgay	None	7.00
Akatsuki	Leaf Nation	None	416.02
LargestWarMachine	VieCLa	None	57.27
Yuri Demtri Varkov	Union of Valdosta	Ecotopian Co-operative Alliance	322.09
Declan Sharke	Szilarsia	None	139.10
Sarrius	Terrpola	None	8.00
Isaac Weitkuhn	Paradys	None	57.16
BOJO	Un-united Kingdom	None	301.55
Jochem	Osterreich	None	6.75
Fan Raneko	Ricenesia	None	61.00
Ortalin	Ortalin	Valhalla	446.81
Datta	Bharatvarsh	None	105.24
Rahul Saldanha	Rahulistan	None	50.50
Soupe Farhaan	United France	The Knights Radiant	832.22
Wesley Rutherford	Anglophone Republics	None	389.51
Robby gentleman	New rossitina	None	5.25
Doc Edelgas	Linkem	None	8.00
Xai Chiuang	Xai Empire	None	15.75
Allan Rei	Cilacap	The North Atlantic Empire	474.05
Farkas	Wolfland	Pantheon	567.19
Vanish	Spaistan	None	50.50
Farhaan Soupe	United Nation	None	18.27
Herr Katzen	Die Deutschland	None	261.89
Genije Petrovic	Slobodinia	None	93.69
Joseph Meier	Republic Of London	None	11.50
Hugo Bonez	Federation Of Genevivi	None	20.00
Vindicator	Vindication	None	69.11
Afiszu	Gombak	None	7.25
Ryan Haigh	Chomskija	None	8.25
Hart	United Provinces of Hart	None	67.00
Ian The Great	Ianco	Atlas Technologies	1,530.93
Nick	Communist Rebublic of Nick	None	87.45
Jacob Scott	Jacobia	None	5.25
Azathoth	Rapture	None	2.75
Sage	SageLandia	Home	1,357.48
AaronSavoy	Chocholand	None	67.00
Scoliosis Jones	The Big Slappo	None	11.32
Lviv Lover	Lviv	None	278.51
Stacey	Astro	None	14.57
Soyuz	Duzkovich	None	17.08
Tuklaty	Tuklaty	None	83.40
Amanda	Nestance	None	9.39
Benito	Fistagonia	The Fighting Pacifists	1,010.78
Matthew IX the Great	The Kingdom of Dino Derp	None	55.50
BileiosDilisYT	Equal City	None	0.25
Sahin	Republic of Fantastic Pugs	None	50.50
Maksymilian	Mito	None	28.16
Sh azan	Elswayr	None	79.34
Otto Van Bismark II	Pruessen	None	176.54
Muqtada	Communist Republic of Iraq	None	12.14
Vidonscky	Vidoskvia	None	62.24
Nicolas Bourbaki	Trench	None	275.86
Vicar	Arystotzka	Pantheon	750.55
Philosopher King	Fedward Union	None	18.74
Dann	Danland	None	84.25
Caua	Terra de Vera Cruz	None	66.86
Messy Gooshoes	Gooshoozistan	None	5.50
Jake Barker	Jakstonia	None	66.76
Quotlpapzol	Second Mayapan League	None	50.50
Gustave	New Wyoming Federation	None	9.19
Michael Lopez	Derby	None	55.85
Yolo Swaggins	Deponia	None	185.68
Yukko	Nichijou	None	412.14
Michal the Conqueror	Lands of the Czech Crown	None	367.69
Eggpun	Brotherhood	None	58.50
Yitzhak Rabin	lagor	None	13.89
Marcus Aurelius II	New Michigan	None	8.25
Adekanbi	Ile yoruba	None	66.92
HARSHWARDHAN	Wardhanian	None	50.50
Farhaan soupe 2	United American	None	17.07
Joe Horn	Stupefy	None	76.28
Riley	Democratic Socialist Union	None	4.79
MarioNoHopper	The Republic of Macedonia	None	77.98
HHHHHHHH	H land	None	5.50
Phantos	The braylandian empire	None	174.22
Poffy	Dogge Poffy	None	81.52
Smeef	Smeefa	None	50.50
Amine Gherensi	Tamazgha	None	5.50
Johnholywayne	The Forbidden Holy Kingdom	Umbrella Corporation	785.07
John killer wayne	The forbidden kingdom	None	5.48
Guy Hagi	Linka	None	78.55
Norton	The Golden Empire	None	63.93
Scolar Visari	HELGHAN EMPIRE	None	15.37
squasch74	United Lipsaint Republic	None	14.62
Edwin White	Sirdo	None	201.42
Dylan Noveski	Aegean	None	156.39
Master of all	Max Nation	None	8.25
Androv	Anarchtica	None	5.50
Georgios	Peloponnese	None	78.35
Van Allen	Explorer	None	29.91
Pauolo	Packing	One is the loneliest number	2.75
Anders Gyldenlove	South Indiana	None	58.50
Fujihito	Empire of Chikuyo	None	11.50
ZeeKee	The Zekeriki	None	78.39
Bob John	Falan	None	8.00
Niechtain	Argyll & Bute	None	5.50
Vladimir Koho	Sovietland Empire	None	53.00
Raspubean	Kumaved	None	50.50
Oluku	Xaland	None	244.84
Benjamin Netanyahu	Israeli nation	Umbrella Corporation	908.58
DigitalHippie	DigitalWalhalla	AVENGERS	243.63
Doornbos	The new lunar empire	None	50.50
Ustasa Valencia	Zubrova	None	8.00
Tvito I	Banat-Hezog	None	5.50
Gorita	Eretrial	The Immortals	958.58
Matt V	Kingdom of Greece	None	12.20
Nominoe	Bretagne	None	53.00
Ooji	Oojisia	None	78.65
Pemberton	Junction	None	643.74
Ilko Nikolov	Kalashnikov	None	55.50
Nadif Wahyu	Nadif Land	None	568.06
Fidel chavez	Allendia	None	116.48
Murphy the Great	Murphestan	None	13.91
Den Dikken	Flandria	None	5.50
Antonie_Cvits	Carvatia	Ecotopian Co-operative Alliance	130.25
Scott c	Greater Illinois	AVENGERS	547.30
Msafa	Bernia	None	5.25
Clam	ShellGame	Arrgh	1,087.98
Inverted the First	Facodalcon	None	5.75
Steve Romanov	New Fezzan	None	59.88
Diogenes	Openland	None	61.88
Oliver I	Republic of Pandamonia	None	221.71
Jamul	Jamun	Weebunism	479.86
Captain joe	Land lagoon	None	254.66
Pepe	4chan	None	55.10
Zaw	Zarthan	None	55.50
Rodrigo Hemsworth	Tiberino	None	59.50
Ahmet Fatih	For The Anime	None	88.33
Muhammed Mustafa	Copenhagen	None	265.21
yagir	Triton	None	19.40
Voolodya	Russ	None	5.25
Uma	Kill Bill	None	428.43
Darren Young	North Kingsley	None	2.75
Ludvig von Verzcaz	Verzcaz	None	53.00
Giovanni Dubious	Mosomania	None	151.79
Soboro	Rejoko	None	12.19
Constantine XI	Kingdom of Indiana	One is the loneliest number	447.51
Noah I	capiza	None	9.40
Big	bruh	None	2.75
Jango	Kalamazoo	None	72.25
UnknownPenguin	Penguin Army	None	189.18
Trash	TrashLand	None	131.37
Rajesh Nutti	Rashepitali	Federation of Commerce States	60.75
Ray the 4th	Suck My Balls Mr Garason	None	50.50
Nater	Rackanoo	None	63.84
Yolo69	Heran	None	6.25
Muhammad Haris	Islamic Republic Of Pakistan	None	100.75
Kratos	Winterland	Arrgh	929.77
Hardcore	Caledonia	None	9.78
Alexander the 2nd	Branbury	None	53.00
Stavros	Principality of Avantis	None	50.50
Livia the first	Livonia	Home	1,667.50
DW Moore	Republic of Pacifica	None	50.50
Simeon Nikolov	Gopnitsania	None	55.75
Theodore the third	Paricarla Kingdom	None	2.75
Kazan NegoshiKa	Jovilor	None	87.75
al-Kassad	Jajouka	None	62.96
James Left	The Federation of Kanadonia	None	59.92
Keaton Castle	United States of America 2	None	50.50
Sunken Latoma	Paradiso	None	73.60
Cecil	Chemistron	None	137.78
Palpa	Elsenor	None	54.35
Stijn van Antwerpen	Antwerpia	None	248.43
thang	celestian order	None	50.50
Dick Van Skywalker	Hollywoodland	None	5.50
Benedict XVI	Vatican City	None	82.25
Rolorian	Grasarlia	None	50.75
Amalia Stark	Aspatania	The Enterprise	1,260.09
Manuel Boucinha	Republic of Weimar	None	0.50
Scipio	Libertatum Terra	Horsemen	385.65
Chesssky	Anonamy	None	228.70
Kirawae of I	Tabton	None	376.57
Theodore Roosevelt	United States of Americas	None	193.60
Bakir Izetbegovic	Bosnia and Herzegovina	None	5.50
Dipayan Nandi	Gariahat	None	5.75
Harry Zargoza	Kernan	None	8.00
Walter Mondale	Republic of Connecticut	None	8.00
Anabil Maitra	Kolkata	Ecotopian Co-operative Alliance	136.99
Ishmil Osakov	Sublimia	None	60.93
Nathan The Dumb	Indexity	The Federation	40.63
GEN Hellbay	SOVEREIGN STATE	None	252.33
Donald_J_Trump	Kekistani Union	None	418.22
martins I	MArland	None	9.50
PandaMan6000	The Bamboo Republic	None	2.75
King Bob	Poop Squadron	None	71.72
Mike Duggan	Midwestland	None	5.50
Zayeneh	Federation of Africa states	None	50.50
Jar Jar Binks	Alderan	None	5.50
Gandhiji	Hindustani	None	50.84
Alejo Benitez	Libertatem	None	54.92
Gustavo Miranda	Prudente Miadama	None	332.31
James	Virgondo	The Workers Republic	565.90
Jamie	New Australia	None	5.75
Andria Reliquit	Areyn	None	136.51
Kristian Mar	Afrikaa	None	250.36
cie	Quntum	None	106.05
Sol Slayer	New Taash	CLOVER KINGDOM	1,165.90
Fawaz bin mohmmad	AlFawazies	None	107.62
Andres Rodriguez	The Republic Of Puerto Rico	None	2.75
Ekilovich	Ekilostan	None	11.21
Marin Gabriel	Romaniamare	None	0.25
Phumulani Mngomezulu	New Azania State	None	17.08
Rshn	RSHN	None	59.23
Herr Comrade	Sock Federation	None	55.26
Kepiro	Magyarorszag	None	53.00
HEZI	Flagrant	None	51.06
Hada	Ullvi	None	119.54
Chexelle	Unnamed	Camelot	1,270.00
Dom	Destovia	None	109.43
Noesen	Neiplon	None	165.89
Nicolas Love	Lomelond	None	5.50
Azrian	Spartania	None	60.11
Miz-nan	Kyarnistan	None	73.30
Pandora Elizabel	Kingdom of Jordavia	None	5.50
Adams	Betop	None	70.50
Arkano Santiero	Theor	None	261.79
Pug	God Pug	None	2.75
Regal Lazarus	Lazara	None	100.75
Hana Kano	United Republic	None	13.90
WiLdWiLLiE	Republic of Free States	None	78.56
Patel	East India Company	None	204.05
Mary Jane Pascale	Nara Empire	None	158.17
diva	Orgat	None	50.50
Cleopatra VI	Egypt	None	105.32
Bernd Friedrich	United German Empire	None	0.01
Sviatoslav	Slavic Federation	None	65.34
Lord Of The Melons	Melon Land	None	17.25
Nabil	Nabilistan	AVENGERS	245.97
Arkus	The Leviathan	None	12.36
Rurik morozov	Workers State	None	18.00
Adam Dozier	Dozierland	None	60.40
marty I	liber	None	73.86
Yisrral	Yisreal	None	2.75
Aina	Skart	None	11.89
William Carter	Commune of the British Isles	Teutonic Order	1,318.00
Brady	Pacifera	None	73.75
Jada	North Kroptland	None	2.75
joe1273	Nation name here7	Weebunism	0.05
Monzo	Ortunda	Mythic	489.97
Kaguya Sumeragi	Baby Yoda	The Blind Eye	1,438.09
Chris The Great	The Border Wall	None	2.75
Olay	The grand Italian nation	None	122.62
Jasper Lester	Jepur	None	114.19
Atreus Breary	Mimir	Camelot	1,021.46
East Canada	Kingdom of West Canada	The United Armies	569.37
Malikah	Drago	None	21.58
Augustine Titanis	Deva Victrix	None	160.62
Daemon	Demon Clan x	None	53.00
Higlighter Stalin	Highlights	None	50.50
Johanes Abdelmasseh	Istanbul Kudus	The Enlightenment	876.38
Bert	Llamastistan	None	5.50
Ashuro	Aikenda	None	50.50
Mate	Hungaria	None	204.07
Tejava Heo	Felestia	None	55.10
Kassym Tokayev	Kazakhstan	None	14.61
Samir	United Centralist Republic	None	13.69
Fabrizio	Juman	None	6.70
Bogdan Richard	Occitanie	None	55.50
AJ-YG	Sentania	None	18.00
Roblox	New Sweden	None	178.90
Caden Peck	Westland	None	50.50
Gorox	Gorolandia	None	2.75
Wolgang	Lupusia	None	2.75
Adrik Chernobog III	Chernobog	None	8.00
Hiro	Yamato	None	93.06
Rurikov	Dornland	None	8.87
Drako	Zeffo	None	256.67
Foxlink	Fuchsstadt	Camelot	1,437.00
Bobbyland	South Vallejo	None	73.94
Hecate	Hogwarts School	Bird Weed	94.70
Dyatlov	Floppy Disk	None	8.25
Amin	Valhala	None	260.22
Azeranus	Republic of Tuscatora	None	14.81
Tayvir	Mavaro	None	205.53
Gustavo_Brandao	Novo_Brasil	None	189.01
Roy	Zmuagi	None	4.69
Lizaranzu	Euskadi	None	50.50
Chez	Chezland	None	274.73
Nathan The Dummie	Bontcillia	Kingsglaive	95.74
Biggus Dickus	Republic el Cristo	None	60.41
E-Girl Master	Republic of E-Girls	None	53.00
Tragan	Ocren	None	258.52
Phoenix	Blueice Of Loquers	None	110.03
Schizo Downer	Technocratic United Kingdom	None	2.75
David P	Asurane	None	13.78
Aynia Moreaux	Antovign	None	71.25
Henri Guillaume	the grand Luxembourg	None	12.17
Frandsenk II	Beautiful Creatures	Attrition	226.22
President Matthew	Ecsnurfia	None	8.57
Dereny	Tarentenice	None	2.75
Darius	Ghermese	None	81.47
Cayne Avilla	Tulapeo	None	2.75
Pietro I	Empire Aziro	None	87.35
Danzek	Borg	Unicomplex	324.99
Pageree	Mosatland	None	70.88
WIliiam	Kingdom of America	None	2.75
Big chungu	Noweliste	None	74.50
Lord Bazius	Imperial Separatists	None	1.25
Xia Lung	Northern China	None	244.79
Heigeira	Deugal	None	81.49
Wafer	Greater Finland 2	None	56.00
Waddles The Penguin	Nootana	None	50.50
Lautaro Castro	Republica Argentina	None	5.50
Kelvin Teixeira	Genesis Empire	None	8.25
Sergei Rike	Holiuss	None	337.90
Azazel Diabolos	The Confederation Of Abaddon	None	9.20
Utah Denvers	The Republic of Tyche	The Blitzers	366.21
George XV	Severn-Chelt	None	5.50
Walter	BlueCrystal	None	479.40
Gage	Discourse	None	5.75
Nul	Undefined	Ecotopian Co-operative Alliance	131.04
Fien Zinfi	Irock	None	0.00
Liorea	Auna	None	7.75
Luke Harrison	Crimsonia	None	2.75
George Eastman	Briamland	None	641.36
Groot	Tree	Lol	371.00
Denmark	Hoebamaville	None	81.82
Ted Cruz	The Sovereign State of Texas	The Federation	85.93
Ali Imam Bukhari	Bukhari kingdom	Democracy	246.25
John Zenon	Militaria	Ecotopian Co-operative Alliance	232.62
Carlos del velle	Millenial Empire	None	4.00
Juice man	Shinitai	The Blind Eye	616.96
Hirohito San	State Of Japan	None	50.50
slqggqer	nigdonia	None	16.50
Grigoriy	GreatLand	None	183.77
Bogatyy von 1	Die_Russischen_Reich	The Immortals	306.50
Darth Stalin	First Communist Order	United Alliance for Freedom	86.13
Sam A Jenkins	Republic of Texans	None	106.49
Vladimir Konovalenko	Union of Slavic Countries	The United Armies	501.00
Kurland	Valen	None	23.75
Omidi	Persian	None	50.50
Master of Death	Realm of Darkness	Grey Enterprises	301.50
Opero	Bohemia	None	316.11
Pavlin Petkov	Baigania	None	2.75
Haroon Rasool	Haroonland	None	50.50
Pope Joseph	Vatican State	None	63.49
Illya	Vakia	None	5.50
Hayden Pack	United American States	None	186.78
Dorian Meattle	Westenbourgh	None	391.78
Ubren Haftan	Peshtil	None	8.00
Alpaca	Llama administration	None	66.50
Vikramaditya	Hindu Rashtra	None	50.03
Ivar Hjelmson	Norgestead	None	5.50
Mundo O Concho	Yakkatar	None	51.97
Spack Jarrow	Fomoria	None	5.25
John Morrish	Republic of Keyland	None	216.71
iwan clark	iwlandia	The Immortals	554.03
Wiltshire	Ossianberg	None	59.80
Clementius	Clemium	None	18.00
John Edward Kohlvi	European Empire	None	226.54
Vegeta	South Waycross	None	2.75
Tal Hill	Telanvanstev	The Immortals	945.45
Decimal5	Union Of Social Republics	None	5.75
Luke Skywalker	Lucasfilm	None	557.82
Nemanja Stamenkovic	Bianconeria	None	17.06
Mao Ze Dong	Soviet Union of Indochina	None	5.50
The Holy Council	The Republic of Gilead	None	86.84
Belsnickel	Wizconsin	The Immortals	461.77
OZZY OSBOURNE	BOMBUSHKA	None	443.52
Sir George	Carteronia	None	67.24
Roger Goodell	United States of Football	None	9.25
FailMan416	The Nation of Failures	None	50.50
Maximus	Domalia	None	8.00
Cigarsscotch1776	ORION	None	245.72
Shoz	Zaur Confederacy	None	50.50
Nicholas Mikhail	Andlandsia	None	5.50
Champ	Scottish Nation	None	5.25
Poopie	Poop	None	5.55
Lilac	Snowfall	The Commonwealth	1,840.00
yee yee	proud furry	The norther hemisphere alliance	103.44
Darth plaugus	Empire of the sith	None	0.25
Julius Caesar	The Exceptional One	None	5.50
Edward Flanagan	Meath	None	78.28
Marcellus Turius	Republic of Nicaragua	United Alliance for Freedom	292.47
De Vlaemsche Krijger	Het Vlaemsche Rijk	None	50.50
Majira	Furries	None	53.29
Blucie	Sangratia	None	5.25
Noah Hay	Poole Empire	None	312.76
space cadet	Cyprus	Chromosome Crusade	979.49
Jaxon Knight	Scorpio Alpha	None	7.78
Hetsael	constantinopla	None	115.06
Jusad Al-Bellum	Praxistan	None	586.53
Sharty Pants	Snotte	None	63.91
Ssdwars	Crwars	None	2.75
Johannem Scherffius	Luhan	Pantheon	1,112.12
Hibou	Sanpellegrino	None	58.55
de Poire	Celtic Union	None	5.25
Bryam	Amazon	None	367.69
Cynerica Adfyman	Cynerica	None	73.50
JDB	New Anglia	None	53.00
Asim	Kingdom of Swarhi	None	5.50
Ikah	Monikar	None	5.50
Jairao	ILEU	None	2.75
Razvin	kilonoe	None	64.13
Phobia	Degia Beal	None	265.65
Kevin Johnson	DreamChasers	None	52.71
Plant	Potentia	Spartan Brotherhood	1,468.25
Wafer 2	Greater	None	64.23
Eren de Pascia	Imperio de Ruga Sablo	None	11.32
Aco	Aco Conew	None	50.50
Joseph Aclino	The Republic of Crimea	None	50.50
Joseph Oliver	South Margola	None	66.45
Lucrais	Sapphira	Ecotopian Co-operative Alliance	63.50
Romulus I	Empire of the New Horizon	None	276.63
Igravito	Biljie	Central Imperial Union	198.07
Orlando De jesus	United Cities	None	92.95
M4R1N	Askkaopara	None	250.44
Fulan Nahzio	West Carthidge	None	124.54
Travelingteen	The Islands of Demokrati	None	2.63
Ian Bean	Federal Republic of Missouri	United Alliance for Freedom	124.93
Arthur XVI	Federal Republic of Moravia	None	70.75
Edward Valyd Benes	Heleneke Aytokratorea	None	199.60
Doink Mayomaise	Catroidvania	The UnOriginals	65.25
Moravac	Moravska	None	50.50
whynot	distopia	None	225.59
Georgo Dien	Eprana	None	10.92
Bob76	Kertinstan	None	50.50
Curt	Matterica	None	236.98
Karly	Lootil	None	50.50
Jordan Payne	Tanner	None	50.42
Jerbear	Jerbear	None	75.50
Xeno	Republica de Venezuela	None	2.75
Georgo Dean	Faraton	None	0.23
Yoni	Kalmar Empire	None	456.94
nicholas the 7	colidonia	None	2.75
DJN	Kathiyawad	None	11.93
Cyris	Fallen Guard	None	34.54
Natklya	Vikden	None	53.03
Ayatollah Umami	New Celephais	None	19.10
Udete	PaisosCatalans	None	222.62
Momonga	Nazarick	None	421.09
Myggenpv	Kopperland	None	126.92
John Hoosier	Hoosier Independence	None	13.66
Isissidid	Tynda	None	50.50
Simmering Carrot	NoMayoHere	Bird Weed	88.37
Onedrop	Nootnia	None	5.50
patrick 1 the polish	pierogland	None	50.70
Elaena	Eternal Sol	None	156.40
Tal	Sharkland	None	0.75
Rick Johnson	Pisstoria	None	7.75
Darkas	Anirthuria	None	78.41
Josip Gracchus	Istria	None	5.50
Anticentria	Anticentristan	None	8.00
Zivoin Stankovic	SFR Pancic	None	13.72
Kiske	Pumpkinland	None	14.63
khoaly	Lynx	None	56.06
Deacon Blackthorn	StayFrostyEnterprisesLLC	None	61.00
Jello	Handling	None	57.25
SJtheboss	Anime	The Persian Empire	90.35
Whilem I	Holy German Empire	None	265.62
Andrew McCord	Ashland	None	67.73
abtpqr	abtpqr land	None	17.78
John Cosmic	Cosmos Republic	None	50.50
Samuel N Damico	Communist people of Siberia	None	9.54
Hugos	Erros	SSONA	204.13
VOLTIMUS	NEXONUS	None	50.50
Ake	Bijelo polje	None	110.43
Koby Johnson	Penguintina	None	2.75
improbz_col	Improbz Colony	None	95.98
Dattatray sargar	india king	None	2.75
Charles Von Hapsburg	Empire of Prussia	The Commonwealth	103.70
Lakhan	Gujarat	None	50.50
Nirup Priyadarshi	New Narpistan	Narpistanian affiliated confederation	1,074.59
Error of My Ways	Ostralia	Republic of United Socialist	457.41
Moriarty	United States Nations	None	5.25
DieSuppe	GuteSuppe	None	215.90
Arthur Scargill	Anglo Marxist Isles	The UnOriginals	80.25
Rigensis	Titania	The Enlightenment	328.46
Jewma	The millennial empire	Advanced Syndicalist Mechanics	1,393.10
Kalani Tai	One Small Island	None	5.50
Esmond	Ballazania	Ecotopian Co-operative Alliance	71.50
Samuel djoreski	Presta	None	100.57
Suda	Kobec	None	50.50
shaorelos	shaorelos	None	2.75
Cedric Calderon	Saraya	None	50.50
DarthSidious	Exogol	None	29.50
Degan Dresden	Charlin	None	113.37
The Greasy Mussolini	Hot Juice Joint	Bird Weed	299.81
Anton Luvenski	Ozovia	None	14.57
Bharatha	Gaandhara	None	86.55
Ben smoked	Foastan	None	537.74
A Mean Person	Death	The Enlightenment	153.87
Barclay I	Barclay Guild	None	235.16
scomo	new Australian democratic re	None	100.75
Cataldo Leone	Corato	None	51.50
Cordelia Gi Randgriz	Gallia	Ragnarok	2,306.00
Carson Goff	Goffian	None	148.43
kim jong dumb	Dead children playground	None	2.75
Euan	Saint-Petersburg Mafia	None	2.75
Alfred Lichtner	Stalkria	None	335.29
George VI	The Kingdom Of Great Britain	None	2.75
Ariel uriel	Enya	None	249.25
His Highness Siv	Kingdom of Bornea	None	71.28
Alan Chandler	New Mecklenburg	Teutonic Order	854.25
To345	The Peaks of Aconcagua	None	5.50
lechef	lgrosq	None	0.75
nyta	orgie	None	100.75
Mr Moussa	Bilibi	None	9.00
Levi Shapiro	The Republic of Israel	None	361.92
Tenzin Minamoto	Minato	None	439.72
ScottySquatch	Squatchland	None	15.16
FizzyBoi	Coup De Grace	None	216.95
Liam MacDonald III	Novus Scocie	None	346.94
